TransactionID,TransactionDate,Category,ProductName,Quantity,UnitPrice
DUMMY_ID_999,2024-08-17,Home Goods,Bed Sheets,2.0,1201.05
3.0,2025-03-28,Unknown Category,Bed Sheets,3.0,1341.41
4.0,2024-11-25,Home Goods,Bed Sheets,3.0,1044.76
6.0,2025-03-02,Home Goods,Coffee Maker,4.0,3504.4570447385004
7.0,2025-06-20,Electronics,Laptop,2.0,78749.58
8.0,2024-10-17,Apparel,T-Shirt,1.0,783.34
9.0,2024-12-20,Apparel,Jeans,5.0,2087.21
10.0,2025-03-08,Apparel,T-Shirt,5.0,675.15
11.0,2024-10-29,Apparel,T-Shirt,3.0,669.88
12.0,2024-12-02,Apparel,Jeans,2.0,2290.07
13.0,2024-09-18,Apparel,Jeans,2.0,2398.11
14.0,2025-05-14,Electronics,Smartphone,4.0,26903.14
15.0,2024-12-04,Apparel,T-Shirt,4.0,712.96
16.0,2025-02-22,Electronics,Laptop,4.0,73208.86
17.0,2025-07-08,Home Goods,Coffee Maker,3.0,3837.78
18.0,2024-10-31,Electronics,Laptop,4.0,75064.05
19.0,2024-10-08,Electronics,Laptop,1.0,66209.55
20.0,2025-05-19,Apparel,T-Shirt,3.0,790.22
21.0,2025-02-09,Electronics,Laptop,4.0,75426.01
22.0,2025-04-29,Home Goods,Coffee Maker,4.0,3733.66
23.0,2024-10-07,Apparel,T-Shirt,4.0,826.02
24.0,2025-03-28,Electronics,Laptop,4.0,70650.15
25.0,2025-06-10,Electronics,Smartphone,5.0,29385.51
26.0,2024-10-13,Home Goods,Coffee Maker,3.0,3697.83
27.0,2025-05-01,Apparel,T-Shirt,2.0,909.38
28.0,2024-12-22,Home Goods,Coffee Maker,4.0,3209.32
29.0,2024-08-16,Electronics,Smartphone,5.0,25188.64
30.0,2025-05-01,Home Goods,Bed Sheets,5.0,1343.15
31.0,2025-01-15,Electronics,Smartphone,3.0,24108.33
32.0,2025-01-12,Home Goods,Bed Sheets,2.0,1065.91
33.0,2024-10-27,Electronics,Smartphone,3.0,26907.41
34.0,2025-05-03,Electronics,Smartphone,3.0,25704.32
35.0,2024-08-19,Apparel,T-Shirt,2.0,748.99
36.0,2024-10-17,Home Goods,Coffee Maker,1.0,3318.82
37.0,2024-09-28,Electronics,Laptop,5.0,75869.9
38.0,2025-03-10,Electronics,Laptop,4.0,82379.64
39.0,2025-04-13,Apparel,Jeans,2.0,2297.84
40.0,2025-08-02,Apparel,Jeans,3.0,2170.96
41.0,2025-03-30,Electronics,Smartphone,1.0,23902.15
42.0,2024-09-05,Electronics,Smartphone,1.0,28620.26
43.0,2025-03-23,Apparel,Jeans,5.0,1945.56
44.0,2024-09-10,Home Goods,Coffee Maker,3.0,3035.31
45.0,2025-05-30,Electronics,Laptop,5.0,69229.11
46.0,2025-02-05,Home Goods,Coffee Maker,1.0,3168.73
47.0,2025-05-29,Apparel,Jeans,3.0,2068.03
48.0,2024-09-17,Electronics,Laptop,2.0,80308.42
49.0,2025-03-23,Electronics,Laptop,2.0,65132.11
50.0,2025-01-07,Home Goods,Coffee Maker,4.0,3701.81
51.0,2025-01-20,Home Goods,Bed Sheets,5.0,1133.28
52.0,2025-05-28,Electronics,Smartphone,1.0,21767.32
53.0,2024-11-23,Apparel,Jeans,4.0,2158.34
54.0,2024-09-15,Home Goods,Bed Sheets,1.0,1240.89
55.0,2024-11-20,Home Goods,Bed Sheets,5.0,1379.11
56.0,2024-08-31,Apparel,Jeans,5.0,2169.04
57.0,2025-05-19,Electronics,Laptop,3.0,83637.53
58.0,2024-11-10,Home Goods,Coffee Maker,1.0,3811.38
59.0,2025-06-05,Home Goods,Coffee Maker,4.0,3518.65
60.0,2025-03-17,Home Goods,Bed Sheets,3.0,1301.43
61.0,2025-01-01,Electronics,Laptop,1.0,77109.07
62.0,2025-06-11,Electronics,Smartphone,5.0,26586.92
63.0,2025-02-17,Electronics,Smartphone,5.0,21268.6
64.0,2025-03-20,Apparel,T-Shirt,2.0,674.0
65.0,2024-12-19,Home Goods,Bed Sheets,4.0,1180.33
66.0,2025-02-13,Home Goods,Coffee Maker,1.0,3348.18
67.0,2025-04-19,Electronics,Laptop,1.0,81684.31
68.0,2024-12-06,Home Goods,Coffee Maker,4.0,3176.31
69.0,2025-03-08,Home Goods,Coffee Maker,2.0,3794.8
70.0,2024-11-22,Apparel,Jeans,1.0,2297.5
71.0,2025-04-06,Apparel,Jeans,5.0,2085.19
72.0,2024-09-19,Apparel,T-Shirt,2.0,923.53
73.0,2024-08-29,Electronics,Smartphone,4.0,23380.12
74.0,2025-04-08,Home Goods,Bed Sheets,5.0,1071.38
75.0,2025-04-16,Apparel,T-Shirt,3.0,738.3
76.0,2024-08-20,Electronics,Smartphone,4.0,25459.88
77.0,2025-01-08,Electronics,Laptop,2.0,76388.37
78.0,2025-02-08,Home Goods,Coffee Maker,1.0,3662.11
79.0,2025-03-03,Apparel,T-Shirt,3.0,684.06
80.0,2024-12-19,Home Goods,Coffee Maker,1.0,3249.07
81.0,2024-11-20,Home Goods,Coffee Maker,3.0,3541.9
82.0,2025-01-02,Apparel,T-Shirt,4.0,653.97
83.0,2025-04-02,Electronics,Smartphone,5.0,21697.22
84.0,2024-09-29,Apparel,Jeans,5.0,2417.88
85.0,2025-06-14,Apparel,T-Shirt,2.0,827.78
86.0,2024-08-04,Apparel,T-Shirt,3.0,761.8
87.0,2024-10-02,Electronics,Smartphone,1.0,25664.4
88.0,2024-12-09,Apparel,Jeans,4.0,2107.22
89.0,2024-11-22,Home Goods,Coffee Maker,3.0,3394.83
90.0,2025-01-20,Home Goods,Bed Sheets,3.0,1012.82
91.0,2025-03-15,Electronics,Laptop,5.0,84826.18
92.0,2024-11-08,Apparel,T-Shirt,1.0,837.41
93.0,2025-04-24,Home Goods,Coffee Maker,4.0,3881.27
94.0,2024-10-09,Apparel,Jeans,1.0,1963.75
95.0,2024-11-15,Electronics,Smartphone,2.0,23889.4
96.0,2025-03-04,Electronics,Laptop,2.0,74084.97
97.0,2024-12-24,Electronics,Laptop,3.0,65002.82
98.0,2024-12-29,Apparel,Jeans,2.0,2047.53
99.0,2025-06-07,Electronics,Smartphone,5.0,25238.42
100.0,2025-04-11,Apparel,T-Shirt,5.0,848.33
101.0,2024-12-28,Apparel,Jeans,1.0,2112.86
102.0,2024-08-17,Apparel,Jeans,1.0,2197.6
103.0,2024-11-20,Home Goods,Bed Sheets,1.0,1193.14
104.0,2024-12-08,Electronics,Laptop,3.0,81537.45
105.0,2025-02-18,Home Goods,Bed Sheets,5.0,1080.01
106.0,2024-08-24,Home Goods,Bed Sheets,4.0,1023.83
107.0,2025-02-12,Home Goods,Bed Sheets,5.0,1244.3
108.0,2024-09-29,Home Goods,Bed Sheets,1.0,1350.29
109.0,2025-05-08,Home Goods,Bed Sheets,5.0,1250.76
110.0,2025-03-11,Electronics,Laptop,4.0,66978.37
111.0,2025-03-08,Apparel,Jeans,3.0,2007.79
112.0,2024-09-04,Home Goods,Bed Sheets,5.0,1147.59
113.0,2025-06-04,Electronics,Smartphone,4.0,21031.14
114.0,2024-08-17,Apparel,T-Shirt,5.0,892.83
115.0,2025-02-04,Electronics,Laptop,4.0,67368.82
116.0,2025-06-01,Home Goods,Coffee Maker,1.0,3797.32
117.0,2025-04-07,Apparel,T-Shirt,5.0,699.01
118.0,2025-03-19,Electronics,Laptop,2.0,82212.39
119.0,2025-04-13,Home Goods,Bed Sheets,5.0,1281.83
120.0,2024-12-05,Home Goods,Bed Sheets,1.0,1181.52
121.0,2025-02-01,Electronics,Laptop,5.0,68990.09
122.0,2025-07-11,Electronics,Laptop,4.0,80927.31
123.0,2024-09-24,Apparel,Jeans,5.0,2411.68
124.0,2025-07-05,Electronics,Laptop,1.0,80001.65
125.0,2025-04-06,Home Goods,Coffee Maker,4.0,3771.75
126.0,2024-10-28,Electronics,Laptop,4.0,76364.17
127.0,2024-10-20,Apparel,T-Shirt,4.0,936.34
128.0,2025-05-05,Home Goods,Coffee Maker,2.0,3684.45
129.0,2025-01-11,Home Goods,Bed Sheets,2.0,1146.14
130.0,2025-07-06,Electronics,Laptop,2.0,75693.98
131.0,2025-07-11,Home Goods,Bed Sheets,2.0,1144.3
132.0,2025-01-15,Apparel,T-Shirt,4.0,886.72
133.0,2025-04-06,Electronics,Laptop,3.0,83286.68
134.0,2025-07-10,Apparel,T-Shirt,4.0,845.31
135.0,2024-08-12,Electronics,Smartphone,2.0,26434.92
136.0,2025-01-20,Apparel,T-Shirt,2.0,721.69
137.0,2024-10-17,Electronics,Smartphone,3.0,24166.95
138.0,2025-06-28,Electronics,Laptop,4.0,68663.93
139.0,2024-09-09,Electronics,Laptop,1.0,80564.62
