TransactionID,TransactionDate,Category,ProductName,Quantity,UnitPrice
,17-08-2024,Home Goods,Bed Sheets,2,1201.05
2,,Electronics,Laptop,5,77849.11
3,28-03-2025,,Bed Sheets,3,1341.41
4,25-11-2024,Home Goods,,3,1044.76
5,14-06-2025,Electronics,Laptop,,81742.13
6,02-03-2025,Home Goods,Coffee Maker,4,
7,20-06-2025,Electronics,Laptop,2,78749.58
8,17-10-2024,Apparel,T-Shirt,1,783.34
9,20-12-2024,Apparel,Jeans,5,2087.21
10,08-03-2025,Apparel,T-Shirt,5,675.15
11,29-10-2024,Apparel,T-Shirt,3,669.88
12,02-12-2024,Apparel,Jeans,2,2290.07
13,18-09-2024,Apparel,Jeans,2,2398.11
14,14-05-2025,Electronics,Smartphone,4,26903.14
15,04-12-2024,Apparel,T-Shirt,4,712.96
16,22-02-2025,Electronics,Laptop,4,73208.86
17,08-07-2025,Home Goods,Coffee Maker,3,3837.78
18,31-10-2024,Electronics,Laptop,4,75064.05
19,08-10-2024,Electronics,Laptop,1,66209.55
20,19-05-2025,Apparel,T-Shirt,3,790.22
21,09-02-2025,Electronics,Laptop,4,75426.01
22,29-04-2025,Home Goods,Coffee Maker,4,3733.66
23,07-10-2024,Apparel,T-Shirt,4,826.02
24,28-03-2025,Electronics,Laptop,4,70650.15
25,10-06-2025,Electronics,Smartphone,5,29385.51
26,13-10-2024,Home Goods,Coffee Maker,3,3697.83
27,01-05-2025,Apparel,T-Shirt,2,909.38
28,22-12-2024,Home Goods,Coffee Maker,4,3209.32
29,16-08-2024,Electronics,Smartphone,5,25188.64
30,01-05-2025,Home Goods,Bed Sheets,5,1343.15
31,15-01-2025,Electronics,Smartphone,3,24108.33
32,12-01-2025,Home Goods,Bed Sheets,2,1065.91
33,27-10-2024,Electronics,Smartphone,3,26907.41
34,03-05-2025,Electronics,Smartphone,3,25704.32
35,19-08-2024,Apparel,T-Shirt,2,748.99
36,17-10-2024,Home Goods,Coffee Maker,1,3318.82
37,28-09-2024,Electronics,Laptop,5,75869.9
38,10-03-2025,Electronics,Laptop,4,82379.64
39,13-04-2025,Apparel,Jeans,2,2297.84
40,02-08-2025,Apparel,Jeans,3,2170.96
41,30-03-2025,Electronics,Smartphone,1,23902.15
42,05-09-2024,Electronics,Smartphone,1,28620.26
43,23-03-2025,Apparel,Jeans,5,1945.56
44,10-09-2024,Home Goods,Coffee Maker,3,3035.31
45,30-05-2025,Electronics,Laptop,5,69229.11
46,05-02-2025,Home Goods,Coffee Maker,1,3168.73
47,29-05-2025,Apparel,Jeans,3,2068.03
48,17-09-2024,Electronics,Laptop,2,80308.42
49,23-03-2025,Electronics,Laptop,2,65132.11
50,07-01-2025,Home Goods,Coffee Maker,4,3701.81
51,20-01-2025,Home Goods,Bed Sheets,5,1133.28
52,28-05-2025,Electronics,Smartphone,1,21767.32
53,23-11-2024,Apparel,Jeans,4,2158.34
54,15-09-2024,Home Goods,Bed Sheets,1,1240.89
55,20-11-2024,Home Goods,Bed Sheets,5,1379.11
56,31-08-2024,Apparel,Jeans,5,2169.04
57,19-05-2025,Electronics,Laptop,3,83637.53
58,10-11-2024,Home Goods,Coffee Maker,1,3811.38
59,05-06-2025,Home Goods,Coffee Maker,4,3518.65
60,17-03-2025,Home Goods,Bed Sheets,3,1301.43
61,01-01-2025,Electronics,Laptop,1,77109.07
62,11-06-2025,Electronics,Smartphone,5,26586.92
63,17-02-2025,Electronics,Smartphone,5,21268.6
64,20-03-2025,Apparel,T-Shirt,2,674
65,19-12-2024,Home Goods,Bed Sheets,4,1180.33
66,13-02-2025,Home Goods,Coffee Maker,1,3348.18
67,19-04-2025,Electronics,Laptop,1,81684.31
68,06-12-2024,Home Goods,Coffee Maker,4,3176.31
69,08-03-2025,Home Goods,Coffee Maker,2,3794.8
70,22-11-2024,Apparel,Jeans,1,2297.5
71,06-04-2025,Apparel,Jeans,5,2085.19
72,19-09-2024,Apparel,T-Shirt,2,923.53
73,29-08-2024,Electronics,Smartphone,4,23380.12
74,08-04-2025,Home Goods,Bed Sheets,5,1071.38
75,16-04-2025,Apparel,T-Shirt,3,738.3
76,20-08-2024,Electronics,Smartphone,4,25459.88
77,08-01-2025,Electronics,Laptop,2,76388.37
78,08-02-2025,Home Goods,Coffee Maker,1,3662.11
79,03-03-2025,Apparel,T-Shirt,3,684.06
80,19-12-2024,Home Goods,Coffee Maker,1,3249.07
81,20-11-2024,Home Goods,Coffee Maker,3,3541.9
82,02-01-2025,Apparel,T-Shirt,4,653.97
83,02-04-2025,Electronics,Smartphone,5,21697.22
84,29-09-2024,Apparel,Jeans,5,2417.88
85,14-06-2025,Apparel,T-Shirt,2,827.78
86,04-08-2024,Apparel,T-Shirt,3,761.8
87,02-10-2024,Electronics,Smartphone,1,25664.4
88,09-12-2024,Apparel,Jeans,4,2107.22
89,22-11-2024,Home Goods,Coffee Maker,3,3394.83
90,20-01-2025,Home Goods,Bed Sheets,3,1012.82
91,15-03-2025,Electronics,Laptop,5,84826.18
92,08-11-2024,Apparel,T-Shirt,1,837.41
93,24-04-2025,Home Goods,Coffee Maker,4,3881.27
94,09-10-2024,Apparel,Jeans,1,1963.75
95,15-11-2024,Electronics,Smartphone,2,23889.4
96,04-03-2025,Electronics,Laptop,2,74084.97
97,24-12-2024,Electronics,Laptop,3,65002.82
98,29-12-2024,Apparel,Jeans,2,2047.53
99,07-06-2025,Electronics,Smartphone,5,25238.42
100,11-04-2025,Apparel,T-Shirt,5,848.33
101,28-12-2024,Apparel,Jeans,1,2112.86
102,17-08-2024,Apparel,Jeans,1,2197.6
103,20-11-2024,Home Goods,Bed Sheets,1,1193.14
104,08-12-2024,Electronics,Laptop,3,81537.45
105,18-02-2025,Home Goods,Bed Sheets,5,1080.01
106,24-08-2024,Home Goods,Bed Sheets,4,1023.83
107,12-02-2025,Home Goods,Bed Sheets,5,1244.3
108,29-09-2024,Home Goods,Bed Sheets,1,1350.29
109,08-05-2025,Home Goods,Bed Sheets,5,1250.76
110,11-03-2025,Electronics,Laptop,4,66978.37
111,08-03-2025,Apparel,Jeans,3,2007.79
112,04-09-2024,Home Goods,Bed Sheets,5,1147.59
113,04-06-2025,Electronics,Smartphone,4,21031.14
114,17-08-2024,Apparel,T-Shirt,5,892.83
115,04-02-2025,Electronics,Laptop,4,67368.82
116,01-06-2025,Home Goods,Coffee Maker,1,3797.32
117,07-04-2025,Apparel,T-Shirt,5,699.01
118,19-03-2025,Electronics,Laptop,2,82212.39
119,13-04-2025,Home Goods,Bed Sheets,5,1281.83
120,05-12-2024,Home Goods,Bed Sheets,1,1181.52
121,01-02-2025,Electronics,Laptop,5,68990.09
122,11-07-2025,Electronics,Laptop,4,80927.31
123,24-09-2024,Apparel,Jeans,5,2411.68
124,05-07-2025,Electronics,Laptop,1,80001.65
125,06-04-2025,Home Goods,Coffee Maker,4,3771.75
126,28-10-2024,Electronics,Laptop,4,76364.17
127,20-10-2024,Apparel,T-Shirt,4,936.34
128,05-05-2025,Home Goods,Coffee Maker,2,3684.45
129,11-01-2025,Home Goods,Bed Sheets,2,1146.14
130,06-07-2025,Electronics,Laptop,2,75693.98
131,11-07-2025,Home Goods,Bed Sheets,2,1144.3
132,15-01-2025,Apparel,T-Shirt,4,886.72
133,06-04-2025,Electronics,Laptop,3,83286.68
134,10-07-2025,Apparel,T-Shirt,4,845.31
135,12-08-2024,Electronics,Smartphone,2,26434.92
136,20-01-2025,Apparel,T-Shirt,2,721.69
137,17-10-2024,Electronics,Smartphone,3,24166.95
138,28-06-2025,Electronics,Laptop,4,68663.93
139,09-09-2024,Electronics,Laptop,1,80564.62
140,11-06-2025,Home Goods,Bed Sheets,2,1063.54
